"model_name","src_path","is_parsed","ref_resolving_error","syntax_error","error_codes"
"aadlbook::integration","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-book/eclipse-project/case-study/integration.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"aadlbook::integration","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-book/eclipse-project/case-study/integration.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"aadlbook::integration","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-book/eclipse-project/case-study/integration.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"aadlbook::component_definition","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-book/eclipse-project/examples/component_definition.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"use_myproperties","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-book/eclipse-project/properties/use-myproperties.aadl","true","0","0","[]"
"use_myproperties","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-book/eclipse-project/properties/use-myproperties.aadl","true","0","0","[]"
"aadlbook::flows_definition","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-book/eclipse-project/examples/flows_definition.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-book/eclipse-project/properties/myproperties.aadl","false","0","1","[]"
"Basic_AFDX_Model","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-networking-refmodel/AFDX_Model.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"Basic_AFDX_Model","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-networking-refmodel/AFDX_Model.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"Basic_AFDX_Model","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-networking-refmodel/AFDX_Model.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"Software_Layer","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-networking-refmodel/Software_Layer.aadl","true","0","0","[]"
"AFDX_PreSynthesis","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-networking-refmodel/AFDX_PreSynthesis.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"AFDX_PreSynthesis","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-networking-refmodel/AFDX_PreSynthesis.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"AFDX_PreSynthesis","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-networking-refmodel/AFDX_PreSynthesis.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"TTE_Model","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-networking-refmodel/TTEthernet_Model.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"TTE_Model","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-networking-refmodel/TTEthernet_Model.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"TTE_Model","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-networking-refmodel/TTEthernet_Model.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-networking-refmodel/lib/TTEthernet_Properties.aadl","false","5","5","[org.eclipse.xtext.diagnostics.Diagnostic.Syntax, org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl-networking-refmodel/lib/AFDX_Properties.aadl","false","8","3","[org.eclipse.xtext.diagnostics.Diagnostic.Syntax, org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"Bouncing_Ball","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/aadl2uppaal/examples/Bouncing_Ball/Ball.aadl","true","2","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"Perseus","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/AADLib/examples/perseus/perseus.aadl","true","0","0","[]"
"Perseus","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/AADLib/examples/perseus/perseus.aadl","true","0","0","[]"
"Boards::SBC8349E","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/AADLib/src/aadl/boards/boards-sbc8349e.aadl","true","6","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"MinePump","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/AADLib/examples/minepump/minepump.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"Flowlatencysampleddata","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/AADLib/examples/flow_analysis/flowlatencysampleddata.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"Flowlatencysampleddata","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/AADLib/examples/flow_analysis/flowlatencysampleddata.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"Flowlatencysampleddata","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/AADLib/examples/flow_analysis/flowlatencysampleddata.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"Flowlatencysampleddata","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/AADLib/examples/flow_analysis/flowlatencysampleddata.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
"Flowlatencysampleddata","/mnt/DATA/00-GSSI/00-WORK/EXAMPLE_ROOT_DIRECTORY_MODELS/jalejandroc2928@gmail.com/github/AADLib/examples/flow_analysis/flowlatencysampleddata.aadl","true","10","0","[org.eclipse.xtext.diagnostics.Diagnostic.Linking]"
